Loop_time_sec, CPU_u
0.00429375,100
0.00430971,nan
0.00435546,100
0.00434463,nan
0.00435679,nan
0.00436808,nan
0.00435975,100
0.00436333,nan
0.00437479,100
0.00435175,100
0.00438758,nan
0.00430946,nan
0.00426612,100
0.00436783,100
0.00435429,nan
0.00437308,nan
0.00437575,100
0.00436912,nan
0.0043435,nan
0.00437383,100
0.00435496,nan
0.00434992,nan
0.00435817,100
0.00436237,nan
0.00435596,nan
0.00436487,nan
0.004369,100
0.00436321,100
0.00436104,nan
0.00435962,100
0.00435962,nan
0.00437083,100
0.00435992,nan
0.00436333,nan
0.00436208,nan
0.00436775,0
0.00438783,100
0.00432813,nan
0.00435917,100
0.00436008,nan
0.00436,100
0.00434817,nan
0.00436125,100
0.00435546,nan
0.00436454,100
0.00436583,nan
0.00444067,100
0.00429233,nan
0.00436771,100
0.00436517,100
0.00436742,nan
0.0043605,nan
0.00436792,100
0.00437571,100
0.00435112,nan
0.00437342,nan
0.00435996,100
0.00435796,nan
0.00441221,100
0.00429787,nan
0.0043675,100
0.00440958,nan
0.00430821,nan
0.00436821,100
0.00435146,nan
0.00441862,100
0.0042995,nan
0.00436125,100
0.00435992,nan
0.00436125,nan
0.00437021,nan
0.00435563,100
0.00436542,100
0.00435625,nan
0.00438346,100
0.0043395,nan
0.00437333,100
0.00436383,nan
0.00434492,100
0.00436567,nan
0.00439129,nan
0.00440246,nan
0.00430833,nan
0.00443842,nan
0.00427842,100
0.004364,nan
0.00436508,nan
0.00436825,100
0.0043495,100
0.00436383,nan
0.00436546,nan
0.004373,100
0.00438562,nan
0.00433967,100
0.00435813,nan
0.00436342,100
0.00436583,100
0.00434879,nan
0.00437042,nan
0.00435146,nan
0.00436321,100
0.00436387,nan
0.00435279,100
0.00435979,100
0.00436379,nan
0.00436454,nan
0.00435508,100
0.00436679,nan
0.00436679,nan
0.00436833,nan
0.00435633,100
0.00435521,nan
0.0043625,100
0.00436329,100
0.004247,nan
0.004363,100
0.00436371,nan
0.00435796,nan
0.00436329,nan
0.00435875,100
0.00436604,100
0.00436054,nan
0.00436442,nan
0.00437621,100
0.00437008,100
0.00435567,nan
0.00435717,nan
0.00435396,100
0.00431692,100
0.00435967,nan
0.00436637,nan
0.00436117,nan
0.00435996,nan
0.00436879,100
0.00436317,nan
0.00436025,nan
0.00436746,100
0.00434737,100
0.00435775,nan
0.00435138,100
0.00426471,100
0.00436363,nan
0.00436529,100
0.00435879,nan
0.0043565,nan
0.00446663,100
0.00424933,nan
0.00436908,100
0.00434438,nan
0.00436446,nan
0.00436346,nan
0.00436496,nan
0.00440633,100
0.00438992,nan
0.00429088,nan
0.00436158,100
0.00436633,100
0.00433708,nan
0.00428896,100
0.00434162,nan
0.00440358,100
0.00431858,nan
0.00437171,nan
0.00438433,100
0.00438642,nan
0.004217,nan
0.00430354,nan
0.00430283,0
0.00439362,100
0.00421429,nan
0.00430363,0
0.00430013,nan
0.00438954,nan
0.00422167,nan
0.00430312,0
0.00430246,nan
0.00439717,nan
0.00421496,nan
0.00430367,0
0.004301,nan
0.00439379,100
0.00421625,0
0.00430033,nan
0.00430533,nan
0.00439138,nan
0.00421875,0
0.00431096,nan
0.00429346,nan
0.00439288,100
0.0042115,0
0.00430242,nan
0.00430054,nan
0.00439071,0
0.00422204,nan
0.00430246,nan
0.00430267,nan
0.00441029,0
0.00420083,nan
0.00430429,nan
0.00427275,nan
0.00443292,0
0.00422092,nan
0.00430233,nan
0.00430404,0
0.00439463,100
0.00421025,nan
0.00431096,nan
0.0042965,0
0.00439167,nan
0.00422025,nan
0.00426062,nan
0.00430371,0
0.00438971,100
0.00421438,nan
0.00430208,0
0.00430375,nan
0.00441167,nan
0.00420229,nan
0.00430104,0
0.0043035,nan
0.00439396,nan
0.00421908,nan
0.00430162,0
0.00430204,nan
0.00439162,100
0.00421196,0
0.00430896,nan
0.00429537,nan
0.00439183,nan
0.00422308,0
0.00430137,nan
0.00430354,nan
0.00440912,100
0.00419733,0
0.00430075,nan
0.00430279,nan
0.00430388,nan
0.00428954,nan
0.00435367,100
0.00434375,nan
0.00436021,100
0.00435225,nan
0.00435417,nan
0.00436575,100
0.00435692,100
0.00435612,nan
0.0043625,100
0.00435846,nan
0.00436083,100
0.00436483,nan
0.00437296,nan
0.00430642,nan
0.00435746,100
0.00434888,nan
0.00436312,nan
0.004369,nan
0.00435667,100
0.00436621,nan
0.00434638,100
0.00439017,nan
0.00436308,100
0.00437954,nan
0.00430054,100
0.00434958,nan
0.00442746,nan
0.00429217,nan
0.00429817,nan
0.004358,100
0.00436604,nan
0.00436158,nan
0.00435804,100
0.00435254,nan
0.00437058,100
0.00436829,nan
0.00436737,100
0.00435588,100
0.00437396,nan
0.00431025,100
0.00436308,100
0.00432458,nan
0.00437213,nan
0.00436433,100
0.00436033,nan
0.00436725,nan
0.00438221,100
0.00434008,nan
0.0043645,nan
0.00436412,nan
0.00444325,100
0.00427421,nan
0.00436358,nan
0.00437233,nan
0.00437008,100
0.00436129,nan
0.00437442,nan
0.00440429,nan
0.00431375,100
0.00436079,nan
0.00436404,nan
0.00426346,nan
0.00434792,100
0.00435967,nan
0.00436954,100
0.00435296,nan
0.00437392,nan
0.00435638,100
0.00435383,nan
0.00436379,nan
0.0043725,100
0.00434508,nan
0.00434975,nan
0.004364,nan
0.00436154,100
0.00435238,nan
0.00435546,nan
0.00438125,100
0.00435638,nan
0.004387,nan
0.00432917,nan
0.00435642,nan
0.00436771,100
0.00436117,100
0.00434996,nan
0.00435258,100
0.00436346,nan
0.00436792,100
0.00436863,nan
0.00434667,nan
0.00436346,100
0.00435525,100
0.00436208,nan
0.00441404,nan
0.00440092,100
0.00426679,nan
0.00436042,100
0.00435758,100
0.00434879,nan
0.00437179,nan
0.00434892,nan
0.0043625,nan
0.00437,100
0.00435529,nan
0.00435808,nan
0.00436662,100
0.00434833,nan
0.00437671,nan
0.00435233,nan
0.00436567,100
0.004355,100
0.00426029,nan
0.00434325,nan
0.00436625,100
0.00436963,nan
0.00431258,100
0.00435271,100
0.00436104,nan
0.00436237,100
0.00439579,nan
0.00431592,nan
0.00436879,100
0.00438946,nan
0.00442063,nan
0.00425021,100
0.00428437,nan
0.00438225,100
0.00433238,100
0.00435437,nan
0.00441629,nan
0.00431112,100
0.00434796,nan
0.00435183,100
0.00436142,nan
0.0043625,100
0.00435025,nan
0.00436263,nan
0.00435792,nan
0.00429033,100
0.00435717,nan
0.00435867,nan
